0001 00360 1| |  0.26323840|  2.42347258|   25.8|   -4.4| 20| 26| 1.1| 1.2|1984.93|1979.56|10|1.4|0.7|1.4|0.7|11.347|0.070|10.199|0.040|999|T|         |  0.26318611|  2.42347861|1.79|1.54| 25.4| 37.9| |-0.1
0001 00381 1| |  0.00089614|  1.08900761|   -4.6|   -2.5|  9| 12| 1.0| 1.1|1989.91|1987.95|11|0.9|0.9|0.9|0.9| 9.641|0.023| 9.139|0.018|999|T|     1   |  0.00090639|  1.08901250|1.86|1.57|  8.9| 13.0| |-0.2
0001 00415 1| |  1.63529525|  1.75017411|    1.8|   -3.6| 57| 80| 1.8| 2.0|1977.01|1960.55| 3|0.6|0.3|0.6|0.2|12.768|0.259|11.627|0.126|999| |         |  1.63529139|  1.75018250|1.88|1.67| 63.0|101.9| |-0.1
0001 00428 1| |  1.00218328|  2.24247255|   -1.0|   -8.0| 36| 44| 1.8| 1.9|1978.37|1974.27| 4|0.4|0.5|0.4|0.5|12.669|0.302|11.061|0.097|999| |         |  1.00217833|  2.24248028|1.80|1.55| 64.2| 91.0| |-0.2
0001 00433 1| |  0.37629010|  2.04042860|  -21.4|  -11.5| 42| 41| 1.9| 1.9|1975.54|1973.89| 4|0.8|0.1|0.8|0.1|12.364|0.213|11.979|0.213|999| |         |  0.37635889|  2.04046028|1.76|1.56| 86.7|123.1| |-0.2
0001 00438 1| |  1.02751281|  2.10042717|    3.1|   -7.1| 89|116| 2.6| 2.9|1973.93|1959.69| 2|   |   |   |   |12.257|0.211|12.648|0.340|999| |         |  1.02750556|  2.10044361|1.84|1.56|101.2|147.6| |-0.1
0001 00451 1| |  0.36508577|  0.30158441|  -17.2|   -3.0| 12| 18| 1.0| 1.1|1989.46|1987.54|10|0.8|0.8|0.7|0.8|10.483|0.038| 9.340|0.021|999|T|         |  0.36512528|  0.30159278|1.91|1.69| 13.1| 19.4| |-0.1
0001 00457 1| |  2.17350886|  0.88572244|   39.4|    4.7| 47| 39| 2.0| 2.0|1981.55|1978.02| 3|3.0|1.8|3.0|1.9|11.747|0.105|11.244|0.115|999| |         |  2.17339278|  0.88574667|1.73|1.52| 60.2| 82.7| |-0.2
0001 00462 1| |  1.95337213|  1.31112515|   15.3|    0.8| 37| 46| 1.5| 1.6|1981.17|1975.59| 4|0.8|1.9|0.9|1.9|11.615|0.088|11.005|0.081|999|T|         |  1.95333750|  1.31113806|1.80|1.58| 46.3| 62.1| | 0.0
0001 00465 1| |  0.91191857|  1.40907621|   10.5|   12.6| 39| 49| 1.7| 1.7|1974.35|1968.78| 4|1.3|0.2|1.3|0.2|11.480|0.083|11.076|0.094|999| |         |  0.91189111|  1.40903889|1.79|1.57| 95.8|135.4| |-0.2
0001 00472 1| |  1.87541914|  0.88008348|    5.1|   -3.1| 30| 39| 1.5| 1.5|1985.02|1979.79| 4|0.8|1.3|0.8|1.3|11.610|0.078|10.572|0.052|999|T|         |  1.87540944|  0.88008139|1.74|1.53| 34.4| 48.4| | 0.0
0001 00477 1| |  1.55901196|  1.45549468|    2.5|   -1.1| 60| 86| 2.4| 2.5|1983.70|1973.79| 2|   |   |   |   |12.692|0.240|11.665|0.129|999| |         |  1.55900611|  1.45549750|1.85|1.65| 62.5| 97.4| |-0.2
0001 00487 1| |  1.71704916|  1.49735909|  -18.6|   -8.4| 40| 40| 1.4| 1.4|1975.89|1971.89| 5|0.9|0.6|0.9|0.6|12.194|0.155|11.332|0.096|999| |         |  1.71709500|  1.49736583|1.84|1.72| 55.1| 78.4| |-0.1
0001 00492 1| |  1.12337551|  2.22551924|   38.8|   20.8| 42| 41| 2.0| 1.9|1974.32|1973.23| 4|0.9|1.2|0.8|1.2|12.492|0.238|11.278|0.103|999| |         |  1.12327806|  2.22544444|1.82|1.52|113.9|164.0| |-0.2
0001 00507 1| |  2.06364037|  0.86571038|    1.8|   -8.0| 56| 70| 1.6| 1.7|1978.44|1968.13| 4|1.7|0.9|1.8|0.9|12.760|0.300|12.492|0.271|999| |         |  2.06369528|  0.86569722|1.74|1.58|114.6|157.1| |-0.1
0001 00510 1| |  2.08092353|  1.33508171|   58.3|   -8.3| 70| 81| 1.8| 1.9|1966.80|1956.51| 3|1.3|0.5|1.3|0.5|12.235|0.188|11.706|0.171|999| |         |  2.08079167|  1.33510056|1.78|1.58| 82.5|104.0| |-0.1
0001 00521 1| |  1.91353846|  1.34663515|    4.0|  -11.5| 14| 19| 1.1| 1.2|1986.93|1985.40| 9|1.1|0.9|1.2|0.9|10.920|0.054| 9.388|0.022|999|T|         |  1.91352889|  1.34665944|1.81|1.61| 15.5| 21.5| |-0.1
0001 00535 1| |  1.51393000|  0.82127903|   50.7|   31.6| 30| 36| 1.6| 1.6|1981.63|1976.75| 4|0.1|0.1|0.1|0.1|11.841|0.091|11.213|0.087|999| |         |  1.51381500|  0.82120417|1.85|1.64| 42.7| 68.8| |-0.1
0001 00551 1| |  0.27755905|  1.64459313|   -8.4|   -0.2| 77|106| 2.6| 2.8|1979.59|1966.26| 2|   |   |   |   |14.227|0.593|11.613|0.140|999| |         |  0.27757833|  1.64459361|1.84|1.57| 82.9|128.4| |-0.2
0001 00558 1| |  0.95974169|  0.61799765|    1.0|    4.3| 21| 27| 1.1| 1.2|1982.77|1978.17| 8|0.5|0.7|0.5|0.7|11.644|0.090|10.004|0.037|999|T|         |  0.95973750|  0.61799306|1.89|1.54| 25.9| 38.8| |-0.1
0001 00560 1| |  1.53354952|  0.12141745|   13.5|   -8.6|  6|  8| 0.7| 0.7|1990.24|1988.61|23|0.7|1.0|0.7|1.0| 9.604|0.022| 8.340|0.012|999|T|   511   |  1.53351889|  0.12143778|1.87|1.62|  6.2|  8.9| |-0.1
0001 00563 1| |  0.03856132|  1.28950440|   -4.5|  -27.7| 19| 26| 1.3| 1.3|1987.05|1982.40| 6|1.1|1.3|1.0|1.4|10.772|0.044|10.350|0.042|999|T|         |  0.03856750|  1.28956361|1.84|1.56| 21.3| 32.5| |-0.1
0001 00568 1| |  1.54076825|  1.23608251|    0.6|   -2.9| 32| 41| 1.5| 1.6|1985.48|1977.98| 4|0.6|0.7|0.5|0.8|11.843|0.089|10.841|0.064|999|T|         |  1.54076500|  1.23608194|1.84|1.61| 34.9| 56.5| |-0.1
0001 00584 1| |  1.55179231|  0.51716602|  -13.6|   -4.3| 54| 78| 2.1| 2.2|1984.35|1974.98| 2|   |   |   |   |12.787|0.260|11.314|0.094|999| |         |  1.55182306|  0.51717611|1.85|1.63| 55.6| 85.5| |-0.1
0001 00600 1| |  1.23454734|  0.52322133|   -3.4|  -60.7| 39| 56| 1.6| 1.6|1984.18|1974.98| 3|0.0|0.3|0.0|0.3|11.788|0.089|10.970|0.072|999| |         |  1.23455500|  0.52336194|1.90|1.65| 40.5| 62.3| |-0.1
0001 00603 1| |  0.49608130|  0.86996101|   -0.7|  -10.7| 89|122| 2.6| 3.0|1974.22|1955.88| 2|   |   |   |   |12.496|0.235|11.660|0.162|999| |         |  0.49608333|  0.86998611|1.85|1.59|100.0|162.8| |-0.2
0001 00621 1| |  2.48991800|  1.74443641|   36.7|  -21.1| 75| 88| 2.0| 2.2|1965.99|1953.99| 3|0.4|0.9|0.3|0.8|12.364|0.223|12.223|0.265|999| |         |  2.48983333|  1.74448583|1.70|1.54| 91.0|120.1| |-0.1
